标题,梵文原文,最终音译,初步音译,AI修正音译,状态,用户标记错误,用户已编辑,发布状态
M06.28 卍佛母大孔雀明王大心陀罗尼卍,namo namaḥ atītanāgata pratyu tpanne bhyaḥ  sarva bodhi satva  arha pratyeka buddhe bhyaḥ  namo buddhāya  namo dharmmāya  namaḥ saṅghāya  namaḥ saptānāṃ  samya ksaṃ buddhānāṃ  saśrā vaka saṅghānāṃ  namo suvarṇṇā vabhā sasya  mayū rarā jña  namo mahā mayūrye vidyā rājñe  tadyathā  siddhe  susiddhe  samanta siddhe  amale  vimale  nirmale  maṅgale  maṅgalye  śive śānti  aṇaṣṭhi  ariṣṭe  maṇḍare  hiraṇye hiraṇyavati  hiraṇya garbhethī garbhe  ratne ratna garbhe  satye susatye  mokṣaṇi  mocani  amaraṇi  amāraṇi  araṇe  araje  amṛte  amaraṇi  amṛta saṅjīvani  mukte vimukte  nirmukte  suvi mukte  bhadre subhadre  samanta bhadre  śribhadre  candre candra prabhe  candra kānte  suryaprabhe  suryakānte  daha dahani  paca pacani  grasa grasani  muñca mocani  jvalane  jvala jvalane  sarva artha sādhani  paramartha sādhani  sarva artha pravardhani  sarva maṅgala sādhani  manasi mānasi mahā mānasi  jaye vijaye  ajite  ajitaṃ jaye   aparajite  ananta vijayeḥ  rāji virāji  vītarāji  brahme brahmotari  brahma ghoṣe  abhaya pradā yine  acyute  adbhute  atya dbhute  akṣaye  avyaye  abhaye  vitabhaye  amṛte amṛta saṃ bhave  brahme brahma svare  brahma juṣṭe  ili ilile  milile  aśani pāśani  dhūmani  valake  kaṃ mulake  lamvaṣṭhi  kule buddha janani  rakṣe cchani  cchanani  cchana mālini  pūrṇi pūrṇa manu rathe  ketu māle dalane  saṅgha vaṭe  susare  dhūre  rakhara makhile  tumve sutumve  aṇaṭṭe  aṇe nivaṭṭe  varṣatu devo  navodako  nārāyaṇi  haritāli  kuntāli  ili misti  kuli misti  ilime  sarva arthe ṣva pratihate  sarva arthe ṣvaparājite  svāhā,那摩 那摩赫 阿提达那嘎达 波拉提优 德巴内 比雅赫 萨尔瓦 波提 萨德瓦 阿尔哈 波拉提耶嘎 布德 比雅赫 那摩 布达雅 那摩 达尔玛雅 那摩赫 桑嘎雅 那摩赫 萨普达南 萨米亚 格萨姆 布达南 萨什拉 瓦嘎 桑嘎南 那摩 苏瓦尔那 瓦巴 萨夏 玛优 拉拉 吉尼亚 那摩 玛哈 玛优利耶 维迪亚 拉吉涅 达迪雅塔 悉德 苏悉德 萨曼达 悉德 阿玛莱 维玛莱 尼尔玛莱 曼嘎莱 曼嘎利耶 希韦 尚提 阿纳什提 阿里什德 曼达雷 希拉尼耶 希拉尼亚瓦提 希拉尼亚 嘎尔贝提 嘎尔贝 拉特内 拉特纳 嘎尔贝 萨提耶 苏萨提耶 莫克沙尼 莫查尼 阿玛拉尼 阿玛拉尼 阿拉涅 阿拉杰 阿姆利特 阿玛拉尼 阿姆利塔 桑吉瓦尼 穆克特 维穆克特 尼尔穆克特 苏维 穆克特 巴德雷 苏巴德雷 萨曼达 巴德雷 什里巴德雷 詹德雷 詹德拉 波拉贝 詹德拉 甘德 苏利亚波拉贝 苏利亚甘德 达哈 达哈尼 巴查 巴查尼 格拉萨 格拉萨尼 蒙查 莫查尼 吉瓦拉内 吉瓦拉 吉瓦拉内 萨尔瓦 阿尔塔 萨达尼 波拉玛尔塔 萨达尼 萨尔瓦 阿尔塔 波拉瓦尔达尼 萨尔瓦 曼嘎拉 萨达尼 玛那西 玛那西 玛哈 玛那西 贾耶 维贾耶 阿吉德 阿吉丹 贾耶 阿波拉吉德 阿南达 维贾耶赫 拉吉 维拉吉 维塔拉吉 波拉赫梅 波拉赫莫达里 波拉赫玛 戈谢 阿巴雅 波拉达 雅伊内 阿秋特 阿德布特 阿提雅 德布特 阿克沙耶 阿维亚耶 阿巴耶 维达巴耶 阿姆利特 阿姆利塔 桑 巴韦 波拉赫梅 波拉赫玛 斯瓦雷 波拉赫玛 朱什德 伊里 伊里莱 米里莱 阿沙尼 巴沙尼 杜玛尼 瓦拉盖 卡姆 穆拉盖 兰瓦什提 库莱 布达 贾那尼 拉克谢 查尼 查那尼 查那 玛里尼 布尔尼 布尔纳 玛努 拉特 盖杜 玛莱 达拉内 桑嘎 瓦德 苏萨雷 杜雷 拉卡拉 玛希莱 杜姆韦 苏杜姆韦 阿纳特德 阿涅 尼瓦特德 瓦尔沙杜 代沃 那沃达科 那拉雅尼 哈里达里 昆达里 伊里 米斯提 库里 米斯提 伊里梅 萨尔瓦 阿尔特 什瓦 波拉提哈特 萨尔瓦 阿尔特 什瓦波拉吉特 斯瓦哈,那摩 那摩赫 阿提达那嘎达 波拉提优 德巴内 比雅赫 萨尔瓦 波提 萨德瓦 阿尔哈 波拉提耶嘎 布德 比雅赫 那摩 布达雅 那摩 达尔玛雅 那摩赫 桑嘎雅 那摩赫 萨普达南 萨米亚 格萨姆 布达南 萨什拉 瓦嘎 桑嘎南 那摩 苏瓦尔那 瓦巴 萨夏 玛优 拉拉 吉尼亚 那摩 玛哈 玛优利耶 维迪亚 拉吉涅 达迪雅塔 悉德 苏悉德 萨曼达 悉德 阿玛莱 维玛莱 尼尔玛莱 曼嘎莱 曼嘎利耶 希韦 尚提 阿纳什提 阿里什德 曼达雷 希拉尼耶 希拉尼亚瓦提 希拉尼亚 嘎尔贝提 嘎尔贝 拉特内 拉特纳 嘎尔贝 萨提耶 苏萨提耶 莫克沙尼 莫查尼 阿玛拉尼 阿玛拉尼 阿拉涅 阿拉杰 阿姆利特 阿玛拉尼 阿姆利塔 桑吉瓦尼 穆克特 维穆克特 尼尔穆克特 苏维 穆克特 巴德雷 苏巴德雷 萨曼达 巴德雷 什里巴德雷 詹德雷 詹德拉 波拉贝 詹德拉 甘德 苏利亚波拉贝 苏利亚甘德 达哈 达哈尼 巴查 巴查尼 格拉萨 格拉萨尼 蒙查 莫查尼 吉瓦拉内 吉瓦拉 吉瓦拉内 萨尔瓦 阿尔塔 萨达尼 波拉玛尔塔 萨达尼 萨尔瓦 阿尔塔 波拉瓦尔达尼 萨尔瓦 曼嘎拉 萨达尼 玛那西 玛那西 玛哈 玛那西 贾耶 维贾耶 阿吉德 阿吉丹 贾耶 阿波拉吉德 阿南达 维贾耶赫 拉吉 维拉吉 维塔拉吉 波拉赫梅 波拉赫莫达里 波拉赫玛 戈谢 阿巴雅 波拉达 雅伊内 阿秋特 阿德布特 阿提雅 德布特 阿克沙耶 阿维亚耶 阿巴耶 维达巴耶 阿姆利特 阿姆利塔 桑 巴韦 波拉赫梅 波拉赫玛 斯瓦雷 波拉赫玛 朱什德 伊里 伊里莱 米里莱 阿沙尼 巴沙尼 杜玛尼 瓦拉盖 卡姆 穆拉盖 兰瓦什提 库莱 布达 贾那尼 拉克谢 查尼 查那尼 查那 玛里尼 布尔尼 布尔纳 玛努 拉特 盖杜 玛莱 达拉内 桑嘎 瓦德 苏萨雷 杜雷 拉卡拉 玛希莱 杜姆韦 苏杜姆韦 阿纳特德 阿涅 尼瓦特德 瓦尔沙杜 代沃 那沃达科 那拉雅尼 哈里达里 昆达里 伊里 米斯提 库里 米斯提 伊里梅 萨尔瓦 阿尔特 什瓦 波拉提哈特 萨尔瓦 阿尔特 什瓦波拉吉特 斯瓦哈,,success,否,否,
M06.29 卍大孔雀明王结界缚魔陀罗尼(大孔雀明王结界缚魔身印陀罗尼)卍,tadyathā  oṃ  mahā mayūrye  sarva gaṇapati  bandha bandhahum  phaṭ  svāhā,达底雅他 奥姆 玛哈 玛尤利耶 萨尔瓦 嘎那巴底 班达 班达洪 帕特 斯瓦哈,达底雅他 奥姆 玛哈 玛尤利耶 萨尔瓦 嘎那巴底 班达 班达洪 帕特 斯瓦哈,,success,否,否,
M06.30 卍无染着佛母陀罗尼(无染着陀罗尼)卍,tadyathā  sandhāraṇi  uttāraṇi  susaṃ pratiṣṭhita  sudama  suprati ṣṭhita vijaya  vaira satya pratijñāṃ  suharuha  jñana mati  utpatani  avadāmani  abhiṣa dhani  abhivyā hāra  śūbhavati  suniśritā  mahukuca  abhivada  svāhā,达底雅塔 桑达拉尼 乌达拉尼 苏桑 波拉迪什提达 苏达玛 苏波拉迪 什提达 毗贾亚 外拉 萨底亚 波拉迪吉尼亚姆 苏哈鲁哈 吉亚纳 玛迪 乌德巴达尼 阿瓦达玛尼 阿毗沙 达尼 阿毗维雅 哈拉 舒巴瓦迪 苏尼什里塔 玛胡古贾 阿毗瓦达 斯瓦哈,达底雅塔 桑达拉尼 乌达拉尼 苏桑 波拉迪什提达 苏达玛 苏波拉迪 什提达 毗贾亚 外拉 萨底亚 波拉迪吉尼亚姆 苏哈鲁哈 吉亚纳 玛迪 乌德巴达尼 阿瓦达玛尼 阿毗沙 达尼 阿毗维雅 哈拉 舒巴瓦迪 苏尼什里塔 玛胡古贾 阿毗瓦达 斯瓦哈,,success,否,否,
M06.31 卍金胜佛母陀罗尼(金胜陀罗尼)卍,namo ratna trayāya  tadyathā  kunde kunde  kucare kucare  iṭṭiri  miṭṭiri  svāhā,那摩 喇特那 德喇呀呀 达德呀他 衮代 衮代 古加雷 古加雷 伊提哩 密提哩 斯瓦哈,那摩 喇特那 德喇呀呀 达德呀他 衮代 衮代 古加雷 古加雷 伊提哩 密提哩 斯瓦哈,,success,否,否,
M07.01卍大宝积经无边庄严会无上陀罗尼(无上清净陀罗尼)卍,tadyathā  jaye vijaye  okke okkavati  āloke ālokavati  prabhe prabhavati  darśane  nidarśadaṃvati  arthe arthavati  śodhane  viśodhane  pariśodhane  kṛye kṛyavati  uttaraṇi  santāraṇi  mahā vijaye  mahā vijaya vati  anusandhi  aprati sandhi  yoga mahindadha siddhi siddha arthe  siddha arthavati  mati mati  prabhe  uttari uttaravati  vimale vimala nusandhi  sare saravati  sarā nugate  same sama lamba vigate  gati anigati  apratinivati  viśeṣe viśeṣavati  amalini amalini  pramalini  ūha uttaraṇi  mara pradaye  aśeṣe  anupaśeṣe  anugame  apratigame  agate adagati  gati viśodhani  pariśuddhe  kaṅkṣa cchedani mate  mati pravete  mati viśodhani  samantā nugate  samanta parivare  samanta viśodhani  anupagrahi  anigrahite  hina arthe  artha viśuddhe parame  hetu didhi sanne praveti  prave tavati  viniścaye  vini ścayā nugate  ananta arthe  ananta vigrahe  maja viśuddhe  anugrahe  pragraha viśodhani  adyātma vigate  mahīrdha viśodhani  vidyā nugati  vidyā nusandhi  pari śodhani  svāhā,塔迪雅塔 贾耶 维贾耶 奥克凯 奥卡瓦提 阿洛凯 阿洛卡瓦提 普拉贝 普拉巴瓦提 达尔沙内 尼达尔沙丹瓦提 阿尔泰 阿尔塔瓦提 肖达内 维肖达内 帕里肖达内 克里耶 克里亚瓦提 乌塔拉尼 桑塔拉尼 玛哈 维贾耶 玛哈 维贾亚 瓦提 阿努桑迪 阿普拉蒂 桑迪 瑜伽 玛辛达达 悉地 悉达 阿尔泰 悉达 阿尔塔瓦提 玛提 玛提 普拉贝 乌塔里 乌塔拉瓦提 维玛莱 维玛拉 努桑迪 萨雷 萨拉瓦提 萨拉 努伽泰 萨梅 萨玛 兰巴 维伽泰 伽提 阿尼伽提 阿普拉提尼瓦提 维舍舍 维舍沙瓦提 阿玛利尼 阿玛利尼 普拉玛利尼 乌哈 乌塔拉尼 玛拉 普拉达耶 阿舍舍 阿努帕舍舍 阿努伽梅 阿普拉提伽梅 阿伽泰 阿达伽提 伽提 维肖达尼 帕里舒德 康克沙 切达尼 玛泰 玛提 普拉维泰 玛提 维肖达尼 萨曼塔 努伽泰 萨曼塔 帕里瓦雷 萨曼塔 维肖达尼 阿努帕格拉希 阿尼格拉希泰 希纳 阿尔泰 阿尔塔 维舒德 帕拉梅 赫图 迪迪 桑内 普拉维提 普拉维 塔瓦提 维尼什查耶 维尼 什查亚 努伽泰 阿南塔 阿尔泰 阿南塔 维格拉赫 玛贾 维舒德 阿努格拉赫 普拉格拉哈 维肖达尼 阿迪亚特玛 维伽泰 玛希尔达 维肖达尼 维迪亚 努伽提 维迪亚 努桑迪 帕里 肖达尼 斯瓦哈,塔迪雅塔 贾耶 维贾耶 奥克凯 奥卡瓦提 阿洛凯 阿洛卡瓦提 普拉贝 普拉巴瓦提 达尔沙内 尼达尔沙丹瓦提 阿尔泰 阿尔塔瓦提 肖达内 维肖达内 帕里肖达内 克里耶 克里亚瓦提 乌塔拉尼 桑塔拉尼 玛哈 维贾耶 玛哈 维贾亚 瓦提 阿努桑迪 阿普拉蒂 桑迪 瑜伽 玛辛达达 悉地 悉达 阿尔泰 悉达 阿尔塔瓦提 玛提 玛提 普拉贝 乌塔里 乌塔拉瓦提 维玛莱 维玛拉 努桑迪 萨雷 萨拉瓦提 萨拉 努伽泰 萨梅 萨玛 兰巴 维伽泰 伽提 阿尼伽提 阿普拉提尼瓦提 维舍舍 维舍沙瓦提 阿玛利尼 阿玛利尼 普拉玛利尼 乌哈 乌塔拉尼 玛拉 普拉达耶 阿舍舍 阿努帕舍舍 阿努伽梅 阿普拉提伽梅 阿伽泰 阿达伽提 伽提 维肖达尼 帕里舒德 康克沙 切达尼 玛泰 玛提 普拉维泰 玛提 维肖达尼 萨曼塔 努伽泰 萨曼塔 帕里瓦雷 萨曼塔 维肖达尼 阿努帕格拉希 阿尼格拉希泰 希纳 阿尔泰 阿尔塔 维舒德 帕拉梅 赫图 迪迪 桑内 普拉维提 普拉维 塔瓦提 维尼什查耶 维尼 什查亚 努伽泰 阿南塔 阿尔泰 阿南塔 维格拉赫 玛贾 维舒德 阿努格拉赫 普拉格拉哈 维肖达尼 阿迪亚特玛 维伽泰 玛希尔达 维肖达尼 维迪亚 努伽提 维迪亚 努桑迪 帕里 肖达尼 斯瓦哈,,success,否,否,
M07.02卍大宝积经出现光明会殊胜陀罗尼卍,tadyathā  hile male  male siddhe  ide mide  kuludyu kuludyu kule  male kuṇate  arage ahile  mimilete  sumile  mile mile  khibhile abhile  sutethe dhaṇi  maṇīgaṇi garite  sugare  parya jñanane  anulumike vilume  susadṛśe  aśirile  sarva prapte  pravihi dhāraṇi  tiṣṭhīhasuti   arthe bhuja ṅgagaṇa  kumbha ṇḍava sāvana  paritulyani  parigaṇani  manasa  sulo citta pada  akṣara  abhilā pya  pratiṣṭhā dhāraṇi  ajita guṇevi  svāhā,达底雅塔 嘿勒 嘛勒 嘛勒 悉德嘿 伊德 弥德 俱卢迪尤 俱卢迪尤 俱勒 嘛勒 俱那德 阿拉格 阿嘿勒 弥弥勒德 苏弥勒 弥勒 弥勒 克嘿比勒 阿比勒 苏德德 达尼 嘛尼嘎尼 嘎利德 苏嘎勒 巴利亚 吉亚那内 阿努卢弥克 维卢美 苏萨德利舍 阿什利勒 萨尔瓦 波拉波德 波拉维嘿 达拉尼 底希提哈苏底 阿尔德 布贾 昂嘎嘎那 昆巴 恩达瓦 萨瓦那 巴利杜利亚尼 巴里嘎那尼 嘛那萨 苏罗 基达 巴达 阿克沙拉 阿比拉 波亚 波拉底希塔 达拉尼 阿基达 古内维 斯瓦哈,达底雅塔 嘿勒 嘛勒 嘛勒 悉德嘿 伊德 弥德 俱卢迪尤 俱卢迪尤 俱勒 嘛勒 俱那德 阿拉格 阿嘿勒 弥弥勒德 苏弥勒 弥勒 弥勒 克嘿比勒 阿比勒 苏德德 达尼 嘛尼嘎尼 嘎利德 苏嘎勒 巴利亚 吉亚那内 阿努卢弥克 维卢美 苏萨德利舍 阿什利勒 萨尔瓦 波拉波德 波拉维嘿 达拉尼 底希提哈苏底 阿尔德 布贾 昂嘎嘎那 昆巴 恩达瓦 萨瓦那 巴利杜利亚尼 巴里嘎那尼 嘛那萨 苏罗 基达 巴达 阿克沙拉 阿比拉 波亚 波拉底希塔 达拉尼 阿基达 古内维 斯瓦哈,,success,否,否,
M08.01卍出生无边门陀罗尼卍,tadyathā  aṇe  akhe  makhe mukhe  samanta mukhe  sume  satyā rame  saudhi yukte  nirukte  nirukte prabhe  hile  hili kalpe  kalpasi  sāre  sāra vati  hile  hile  hile  hile  hile  hile  hile  hilile  mahā hilile  caṇḍe cavaṇe  varā caraṇi  acale  macale  anante  ananta gati  araṇi nirmade  nirvapane  nirvartane  nirdhante  dharmma dhare  nīhare  nirhare  vimale  śila viśo dhane  pra kṛti dīpane  bhava vibhāvane  asaṅga  asaṅga vihare  dame  vimale  vimala prabhe  saṅka rṣaṇi  dhire  dhidhire  mahā dhidhire  yaśe  yaśuvati  cale  acale  macale  sama cale  dṛḍha sandhi  susthire  asaṅge  asaṅga vihare  asaṅga nirhāre  nīhāra vimale  nīhāra śodhane  dṛḍha sume  sthire  sthāme sthāma vartti  mahā prabhe  samanta prabhe  vipula prabhe  vipula raśmi  samanta mukhe  sarva trānugate  anacchedye  dhāraṇi  nidhāne  dharmma nidhana gotre  samanta prabhe  sarva tathā gatā  dhiṣṭhitā nādhiṣṭhite  svāhā,达底雅塔 阿涅 阿凯 玛凯 穆凯 萨曼达 穆凯 苏美 萨底雅 拉美 扫迪 尤格底 尼鲁格底 尼鲁格底 普拉贝 希勒 希利 嘎尔贝 嘎尔巴悉 萨雷 萨拉 瓦底 希勒 希勒 希勒 希勒 希勒 希勒 希勒 希利勒 玛哈 希利勒 旃德 旃瓦涅 瓦拉 旃拉尼 阿旃勒 玛旃勒 阿南底 阿南达 嘎底 阿拉尼 尼尔玛德 尼尔瓦巴涅 尼尔瓦尔达涅 尼尔丹底 达尔玛 达雷 尼哈雷 尼尔哈雷 维玛勒 希拉 维绍 达涅 普拉 克利底 迪巴涅 巴瓦 维巴瓦涅 阿桑嘎 阿桑嘎 维哈雷 达美 维玛勒 维玛拉 普拉贝 桑嘎 尔沙尼 迪雷 迪迪雷 玛哈 迪迪雷 雅舍 雅舒瓦底 旃勒 阿旃勒 玛旃勒 萨玛 旃勒 德里达 桑迪 苏斯底雷 阿桑给 阿桑嘎 维哈雷 阿桑嘎 尼尔哈雷 尼哈拉 维玛勒 尼哈拉 绍达涅 德里达 苏美 斯底雷 斯塔美 斯塔玛 瓦尔底 玛哈 普拉贝 萨曼达 普拉贝 维普拉 普拉贝 维普拉 拉什弥 萨曼达 穆凯 萨尔瓦 特拉努嘎底 阿那切迪耶 达拉尼 尼达涅 达尔玛 尼达那 高德雷 萨曼达 普拉贝 萨尔瓦 达塔 嘎达 迪什提塔 那迪什提底 斯瓦哈,达底雅塔 阿涅 阿凯 玛凯 穆凯 萨曼达 穆凯 苏美 萨底雅 拉美 扫迪 尤格底 尼鲁格底 尼鲁格底 普拉贝 希勒 希利 嘎尔贝 嘎尔巴悉 萨雷 萨拉 瓦底 希勒 希勒 希勒 希勒 希勒 希勒 希勒 希利勒 玛哈 希利勒 旃德 旃瓦涅 瓦拉 旃拉尼 阿旃勒 玛旃勒 阿南底 阿南达 嘎底 阿拉尼 尼尔玛德 尼尔瓦巴涅 尼尔瓦尔达涅 尼尔丹底 达尔玛 达雷 尼哈雷 尼尔哈雷 维玛勒 希拉 维绍 达涅 普拉 克利底 迪巴涅 巴瓦 维巴瓦涅 阿桑嘎 阿桑嘎 维哈雷 达美 维玛勒 维玛拉 普拉贝 桑嘎 尔沙尼 迪雷 迪迪雷 玛哈 迪迪雷 雅舍 雅舒瓦底 旃勒 阿旃勒 玛旃勒 萨玛 旃勒 德里达 桑迪 苏斯底雷 阿桑给 阿桑嘎 维哈雷 阿桑嘎 尼尔哈雷 尼哈拉 维玛勒 尼哈拉 绍达涅 德里达 苏美 斯底雷 斯塔美 斯塔玛 瓦尔底 玛哈 普拉贝 萨曼达 普拉贝 维普拉 普拉贝 维普拉 拉什弥 萨曼达 穆凯 萨尔瓦 特拉努嘎底 阿那切迪耶 达拉尼 尼达涅 达尔玛 尼达那 高德雷 萨曼达 普拉贝 萨尔瓦 达塔 嘎达 迪什提塔 那迪什提底 斯瓦哈,,success,否,否,
M08.02卍大宝广博楼阁善住秘密根本陀罗尼卍,namaḥ sarva tathā gatānāṃ  oṃ  vipula garbhe  maṇi prabhe  tathattā nidarśane  maṇi maṇi  suprabhe  vimale  sāgara gambhīre humhum  jvala jvala  buddhā vilokite  guhyā dhiṣṭhita garbhe  svāhā,那摩 萨尔瓦 塔塔嘎塔南 奥姆 维普拉 嘎尔贝 玛尼 普拉贝 塔塔塔 尼达尔沙内 玛尼 玛尼 苏普拉贝 维玛勒 萨嘎拉 甘比雷 洪洪 吉瓦拉 吉瓦拉 布达 维洛基德 古雅 迪什提塔 嘎尔贝 斯瓦哈,那摩 萨尔瓦 塔塔嘎塔南 奥姆 维普拉 嘎尔贝 玛尼 普拉贝 塔塔塔 尼达尔沙内 玛尼 玛尼 苏普拉贝 维玛勒 萨嘎拉 甘比雷 洪洪 吉瓦拉 吉瓦拉 布达 维洛基德 古雅 迪什提塔 嘎尔贝 斯瓦哈,,success,否,否,
M08.03心陀罗尼(宝楼阁)（二道之一）,oṃ  maṇi vajre hum,唵 摩尼 瓦吉热 吽,唵 摩尼 瓦吉热 吽,,success,否,否,
M08.04心中心陀罗尼(宝楼阁)（二道之二）,oṃ  maṇi ndhare hum  phaṭ,唵 摩尼 恩达雷 吽 帕特,唵 摩尼 恩达雷 吽 帕特,,success,否,否,
